Year,Month,EPU-3C,EPU-News
1985,1,125.22473907470703,103.7488021850586
1985,2,99.02081298828125,78.313201904296875
1985,3,112.19050598144531,100.76148223876953
1985,4,102.81132507324219,84.77886962890625
1985,5,120.08272552490234,98.05365753173828
1985,6,132.7131805419922,119.5971450805664
1985,7,128.00181579589844,111.41510772705078
1985,8,126.76611328125,111.24700927734375
1985,9,126.76856231689453,111.18446350097656
1985,10,116.05770874023438,93.09910583496094
1985,11,122.03687286376953,85.09912872314453
1985,12,133.24391174316406,104.17721557617188
1986,1,155.93292236328125,144.2664794921875
1986,2,159.46768188476562,118.99353790283203
1986,3,160.19808959960938,120.16004943847656
1986,4,150.3662567138672,102.47735595703125
1986,5,132.63790893554688,132.38616943359375
1986,6,122.51177978515625,115.05229187011719
1986,7,132.11962890625,130.82106018066406
1986,8,127.552490234375,118.30259704589844
1986,9,132.01832580566406,125.89421844482422
1986,10,111.50926208496094,91.820465087890625
1986,11,115.0202865600586,98.32894134521484
1986,12,108.96810913085938,87.97968292236328
1987,1,122.11427307128906,110.43331909179688
1987,2,109.1452407836914,76.96607208251953
1987,3,122.08486938476562,99.05958557128906
1987,4,110.8597183227539,79.53235626220703
1987,5,110.04292297363281,87.585052490234375
1987,6,121.15791320800781,106.5728530883789
1987,7,106.34800720214844,81.38941192626953
1987,8,74.83796691894531,52.79015350341797
1987,9,78.98139190673828,59.86959457397461
1987,10,143.6030731201172,170.3220672607422
1987,11,155.4220733642578,183.10252380371094
1987,12,135.47265625,149.01113891601562
1988,1,131.52145385742188,142.8728485107422
1988,2,116.58432006835938,102.03289031982422
1988,3,105.05245971679688,82.35363006591797
1988,4,113.6559829711914,97.85680389404297
1988,5,96.14573669433594,99.12745666503906
1988,6,89.78250885009766,88.28594970703125
1988,7,85.18196868896484,80.83588409423828
1988,8,100.15845489501953,94.88969421386719
1988,9,94.55409240722656,85.3568115234375
1988,10,102.23078155517578,98.25379943847656
1988,11,113.95989227294922,102.23400115966797
1988,12,99.66632843017578,77.8281021118164
1989,1,105.07536315917969,87.42640686035156
1989,2,84.84484100341797,51.350643157958984
1989,3,97.2156753540039,72.52325439453125
